origin,destination,flow,time
SWZ.3.7_1,SWZ.4.9_1,152.0,0
SWZ.3.7_1,SWZ.3.16_1,131.0,0
SWZ.3.7_1,SWZ.3.14_1,97.0,0
SWZ.3.7_1,SWZ.4.3_1,14.0,0
SWZ.3.7_1,SWZ.3.15_1,26.0,0
SWZ.3.7_1,SWZ.4.1_1,20.0,0
SWZ.3.7_1,SWZ.4.7_1,14.0,0
SWZ.3.7_1,SWZ.3.3_1,8.0,0
SWZ.3.7_1,SWZ.3.4_1,10.0,0
SWZ.3.7_1,SWZ.3.2_1,11.0,0
SWZ.3.7_1,SWZ.4.6_1,7.0,0
SWZ.3.7_1,SWZ.3.10_1,2.0,0
SWZ.3.7_1,SWZ.3.13_1,5.0,0
SWZ.3.7_1,SWZ.3.9_1,5.0,0
SWZ.3.7_1,SWZ.1.2_1,3.0,0
SWZ.3.7_1,SWZ.3.8_1,1.0,0
SWZ.3.7_1,SWZ.4.4_1,6.0,0
SWZ.3.7_1,SWZ.3.5_1,4.0,0
SWZ.3.7_1,SWZ.3.11_1,2.0,0
SWZ.3.7_1,SWZ.2.11_1,3.0,0
SWZ.3.7_1,SWZ.2.10_1,2.0,0
SWZ.3.7_1,SWZ.3.1_1,1.0,0
SWZ.3.7_1,SWZ.1.6_1,3.0,0
SWZ.3.7_1,SWZ.1.1_1,1.0,0
SWZ.3.7_1,SWZ.1.5_1,2.0,0
SWZ.3.7_1,SWZ.4.2_1,1.0,0
SWZ.3.7_1,SWZ.1.8_1,1.0,0
SWZ.3.7_1,SWZ.2.1_1,1.0,0
SWZ.3.7_1,SWZ.1.9_1,2.0,0
SWZ.3.7_1,SWZ.4.13_1,1.0,0
SWZ.3.7_1,SWZ.2.7_1,1.0,0
SWZ.3.7_1,SWZ.1.12_1,1.0,0
SWZ.3.15_1,SWZ.3.13_1,210.0,0
SWZ.3.15_1,SWZ.3.10_1,47.0,0
SWZ.3.15_1,SWZ.3.16_1,43.0,0
SWZ.3.15_1,SWZ.3.9_1,45.0,0
SWZ.3.15_1,SWZ.3.2_1,12.0,0
SWZ.3.15_1,SWZ.4.3_1,2.0,0
SWZ.3.15_1,SWZ.3.6_1,5.0,0
SWZ.3.15_1,SWZ.3.4_1,3.0,0
SWZ.3.15_1,SWZ.3.7_1,2.0,0
SWZ.3.15_1,SWZ.2.10_1,4.0,0
SWZ.3.15_1,SWZ.3.1_1,2.0,0
SWZ.3.15_1,SWZ.3.5_1,3.0,0
SWZ.3.15_1,SWZ.4.9_1,1.0,0
SWZ.3.15_1,SWZ.1.2_1,1.0,0
SWZ.3.15_1,SWZ.2.11_1,2.0,0
SWZ.3.15_1,SWZ.2.1_1,1.0,0
SWZ.3.15_1,SWZ.3.14_1,1.0,0
SWZ.3.15_1,SWZ.4.8_1,1.0,0
SWZ.3.15_1,SWZ.4.10_1,2.0,0
SWZ.3.15_1,SWZ.2.9_1,1.0,0
SWZ.3.15_1,SWZ.4.4_1,1.0,0
SWZ.3.15_1,SWZ.1.11_1,1.0,0
SWZ.3.15_1,SWZ.1.7_1,2.0,0
SWZ.3.16_1,SWZ.3.4_1,255.0,0
SWZ.3.16_1,SWZ.3.2_1,81.0,0
SWZ.3.16_1,SWZ.3.15_1,18.0,0
SWZ.3.16_1,SWZ.3.7_1,11.0,0
SWZ.3.16_1,SWZ.3.10_1,5.0,0
SWZ.3.16_1,SWZ.3.3_1,6.0,0
SWZ.3.16_1,SWZ.3.9_1,7.0,0
SWZ.3.16_1,SWZ.1.2_1,4.0,0
SWZ.3.16_1,SWZ.3.13_1,5.0,0
SWZ.3.16_1,SWZ.3.5_1,8.0,0
SWZ.3.16_1,SWZ.3.14_1,1.0,0
SWZ.3.16_1,SWZ.4.3_1,1.0,0
SWZ.3.16_1,SWZ.3.1_1,4.0,0
SWZ.3.16_1,SWZ.1.1_1,1.0,0
SWZ.3.16_1,SWZ.1.6_1,1.0,0
SWZ.3.16_1,SWZ.4.1_1,2.0,0
SWZ.3.16_1,SWZ.1.8_1,1.0,0
SWZ.3.16_1,SWZ.4.6_1,1.0,0
SWZ.3.16_1,SWZ.2.11_1,2.0,0
SWZ.3.16_1,SWZ.4.4_1,1.0,0
SWZ.3.16_1,SWZ.1.10_1,1.0,0
SWZ.3.16_1,SWZ.2.7_1,1.0,0
SWZ.3.16_1,SWZ.1.12_1,1.0,0
SWZ.3.16_1,SWZ.2.3_1,2.0,0
SWZ.4.7_1,SWZ.4.10_1,179.0,0
SWZ.4.7_1,SWZ.4.9_1,57.0,0
SWZ.4.7_1,SWZ.4.3_1,21.0,0
SWZ.4.7_1,SWZ.4.6_1,69.0,0
SWZ.4.7_1,SWZ.4.8_1,12.0,0
SWZ.4.7_1,SWZ.3.7_1,21.0,0
SWZ.4.7_1,SWZ.4.2_1,16.0,0
SWZ.4.7_1,SWZ.4.14_1,4.0,0
SWZ.4.7_1,SWZ.2.11_1,10.0,0
SWZ.4.7_1,SWZ.4.4_1,6.0,0
SWZ.4.7_1,SWZ.4.12_1,2.0,0
SWZ.4.7_1,SWZ.4.11_1,3.0,0
SWZ.4.7_1,SWZ.4.1_1,2.0,0
SWZ.4.7_1,SWZ.3.15_1,3.0,0
SWZ.4.7_1,SWZ.3.16_1,2.0,0
SWZ.4.7_1,SWZ.2.10_1,1.0,0
SWZ.4.7_1,SWZ.3.13_1,1.0,0
SWZ.4.7_1,SWZ.3.14_1,2.0,0
SWZ.4.7_1,SWZ.2.4_1,3.0,0
SWZ.4.7_1,SWZ.3.2_1,3.0,0
SWZ.4.7_1,SWZ.3.4_1,3.0,0
SWZ.4.7_1,SWZ.3.9_1,1.0,0
SWZ.4.7_1,SWZ.3.6_1,3.0,0
SWZ.4.7_1,SWZ.3.5_1,1.0,0
SWZ.4.7_1,SWZ.3.1_1,1.0,0
SWZ.4.7_1,SWZ.2.8_1,1.0,0
SWZ.4.7_1,SWZ.2.1_1,1.0,0
SWZ.4.7_1,SWZ.3.11_1,2.0,0
SWZ.4.7_1,SWZ.1.6_1,1.0,0
SWZ.4.8_1,SWZ.4.10_1,128.0,0
SWZ.4.8_1,SWZ.4.12_1,27.0,0
SWZ.4.8_1,SWZ.4.2_1,16.0,0
SWZ.4.8_1,SWZ.4.7_1,14.0,0
SWZ.4.8_1,SWZ.2.11_1,8.0,0
SWZ.4.8_1,SWZ.4.11_1,4.0,0
SWZ.4.8_1,SWZ.4.5_1,5.0,0
SWZ.4.8_1,SWZ.4.14_1,1.0,0
SWZ.4.8_1,SWZ.2.4_1,1.0,0
SWZ.4.8_1,SWZ.4.9_1,1.0,0
SWZ.4.8_1,SWZ.4.4_1,1.0,0
SWZ.4.8_1,SWZ.4.13_1,1.0,0
SWZ.4.8_1,SWZ.2.9_1,1.0,0
SWZ.4.8_1,SWZ.3.7_1,2.0,0
SWZ.4.8_1,SWZ.4.1_1,1.0,0
SWZ.4.8_1,SWZ.3.9_1,2.0,0
SWZ.4.8_1,SWZ.3.2_1,1.0,0
SWZ.4.8_1,SWZ.3.5_1,1.0,0
SWZ.4.8_1,SWZ.3.12_1,1.0,0
SWZ.4.9_1,SWZ.3.7_1,154.0,0
SWZ.4.9_1,SWZ.4.7_1,35.0,0
SWZ.4.9_1,SWZ.4.6_1,14.0,0
SWZ.4.9_1,SWZ.4.3_1,2.0,0
SWZ.4.9_1,SWZ.4.1_1,6.0,0
SWZ.4.9_1,SWZ.4.10_1,1.0,0
SWZ.4.9_1,SWZ.4.4_1,1.0,0
SWZ.4.9_1,SWZ.3.15_1,1.0,0
SWZ.4.9_1,SWZ.3.14_1,2.0,0
SWZ.4.9_1,SWZ.4.14_1,1.0,0
SWZ.4.9_1,SWZ.1.12_1,1.0,0
SWZ.4.9_1,SWZ.2.3_1,1.0,0
SWZ.4.10_1,SWZ.4.8_1,124.0,0
SWZ.4.10_1,SWZ.4.7_1,93.0,0
SWZ.4.10_1,SWZ.4.2_1,32.0,0
SWZ.4.10_1,SWZ.4.14_1,20.0,0
SWZ.4.10_1,SWZ.4.6_1,18.0,0
SWZ.4.10_1,SWZ.4.11_1,7.0,0
SWZ.4.10_1,SWZ.4.12_1,5.0,0
SWZ.4.10_1,SWZ.4.9_1,2.0,0
SWZ.4.10_1,SWZ.4.4_1,5.0,0
SWZ.4.10_1,SWZ.2.11_1,4.0,0
SWZ.4.10_1,SWZ.4.5_1,4.0,0
SWZ.4.10_1,SWZ.3.7_1,2.0,0
SWZ.4.10_1,SWZ.3.15_1,1.0,0
SWZ.4.10_1,SWZ.2.10_1,2.0,0
SWZ.4.10_1,SWZ.2.9_1,1.0,0
SWZ.4.10_1,SWZ.3.2_1,1.0,0
SWZ.4.10_1,SWZ.3.9_1,2.0,0
SWZ.4.10_1,SWZ.3.3_1,1.0,0
SWZ.4.10_1,SWZ.3.5_1,1.0,0
SWZ.4.10_1,SWZ.1.2_1,1.0,0
SWZ.4.10_1,SWZ.1.9_1,1.0,0
SWZ.1.1_1,SWZ.1.5_1,262.0,0
SWZ.1.1_1,SWZ.1.2_1,36.0,0
SWZ.1.1_1,SWZ.1.6_1,13.0,0
SWZ.1.1_1,SWZ.3.5_1,25.0,0
SWZ.1.1_1,SWZ.1.8_1,4.0,0
SWZ.1.1_1,SWZ.3.1_1,2.0,0
SWZ.1.1_1,SWZ.1.9_1,2.0,0
SWZ.1.1_1,SWZ.1.11_1,3.0,0
SWZ.1.1_1,SWZ.3.4_1,2.0,0
SWZ.1.1_1,SWZ.3.2_1,3.0,0
SWZ.1.1_1,SWZ.3.9_1,2.0,0
SWZ.1.1_1,SWZ.3.10_1,1.0,0
SWZ.1.1_1,SWZ.3.11_1,1.0,0
SWZ.1.1_1,SWZ.3.3_1,1.0,0
SWZ.1.1_1,SWZ.3.6_1,5.0,0
SWZ.1.1_1,SWZ.3.16_1,1.0,0
SWZ.1.1_1,SWZ.1.10_1,1.0,0
SWZ.1.1_1,SWZ.3.8_1,1.0,0
SWZ.1.1_1,SWZ.1.12_1,1.0,0
SWZ.1.1_1,SWZ.1.4_1,1.0,0
SWZ.1.1_1,SWZ.2.10_1,2.0,0
SWZ.1.1_1,SWZ.4.6_1,1.0,0
SWZ.1.2_1,SWZ.1.1_1,250.0,0
SWZ.1.2_1,SWZ.1.6_1,132.0,0
SWZ.1.2_1,SWZ.3.4_1,63.0,0
SWZ.1.2_1,SWZ.1.5_1,63.0,0
SWZ.1.2_1,SWZ.3.5_1,30.0,0
SWZ.1.2_1,SWZ.3.2_1,13.0,0
SWZ.1.2_1,SWZ.3.3_1,2.0,0
SWZ.1.2_1,SWZ.1.8_1,4.0,0
SWZ.1.2_1,SWZ.3.10_1,2.0,0
SWZ.1.2_1,SWZ.3.9_1,11.0,0
SWZ.1.2_1,SWZ.3.1_1,2.0,0
SWZ.1.2_1,SWZ.3.16_1,2.0,0
SWZ.1.2_1,SWZ.1.11_1,3.0,0
SWZ.1.2_1,SWZ.1.9_1,5.0,0
SWZ.1.2_1,SWZ.3.8_1,1.0,0
SWZ.1.2_1,SWZ.3.6_1,1.0,0
SWZ.1.2_1,SWZ.3.13_1,1.0,0
SWZ.1.2_1,SWZ.3.12_1,2.0,0
SWZ.1.2_1,SWZ.1.13_1,1.0,0
SWZ.1.2_1,SWZ.1.10_1,3.0,0
SWZ.1.2_1,SWZ.2.10_1,1.0,0
SWZ.1.2_1,SWZ.2.1_1,4.0,0
SWZ.1.2_1,SWZ.4.7_1,2.0,0
SWZ.1.2_1,SWZ.1.7_1,1.0,0
SWZ.1.2_1,SWZ.4.6_1,1.0,0
SWZ.1.2_1,SWZ.2.7_1,2.0,0
SWZ.1.2_1,SWZ.4.10_1,1.0,0
SWZ.1.2_1,SWZ.4.8_1,1.0,0
SWZ.1.2_1,SWZ.4.4_1,1.0,0
SWZ.1.2_1,SWZ.2.5_1,1.0,0
SWZ.1.2_1,SWZ.4.12_1,1.0,0
SWZ.1.2_1,SWZ.4.5_1,1.0,0
SWZ.1.3_1,SWZ.1.10_1,244.0,0
SWZ.1.3_1,SWZ.1.7_1,88.0,0
SWZ.1.3_1,SWZ.3.12_1,34.0,0
SWZ.1.3_1,SWZ.1.9_1,11.0,0
SWZ.1.3_1,SWZ.2.7_1,4.0,0
SWZ.1.3_1,SWZ.1.4_1,5.0,0
SWZ.1.3_1,SWZ.1.13_1,4.0,0
SWZ.1.3_1,SWZ.3.1_1,2.0,0
SWZ.1.3_1,SWZ.1.14_1,2.0,0
SWZ.1.3_1,SWZ.1.12_1,2.0,0
SWZ.1.3_1,SWZ.3.6_1,3.0,0
SWZ.1.3_1,SWZ.3.5_1,5.0,0
SWZ.1.3_1,SWZ.1.1_1,2.0,0
SWZ.1.3_1,SWZ.3.9_1,1.0,0
SWZ.1.3_1,SWZ.1.5_1,1.0,0
SWZ.1.3_1,SWZ.3.10_1,1.0,0
SWZ.1.3_1,SWZ.3.2_1,2.0,0
SWZ.1.3_1,SWZ.1.2_1,1.0,0
SWZ.1.3_1,SWZ.3.13_1,2.0,0
SWZ.1.3_1,SWZ.2.5_1,1.0,0
SWZ.1.3_1,SWZ.3.4_1,1.0,0
SWZ.1.3_1,SWZ.3.15_1,1.0,0
SWZ.1.3_1,SWZ.2.10_1,1.0,0
SWZ.1.3_1,SWZ.3.7_1,1.0,0
SWZ.1.3_1,SWZ.4.9_1,1.0,0
SWZ.1.3_1,SWZ.4.7_1,1.0,0
SWZ.1.3_1,SWZ.4.1_1,1.0,0
SWZ.1.3_1,SWZ.4.10_1,1.0,0
SWZ.1.3_1,SWZ.4.14_1,1.0,0
SWZ.1.4_1,SWZ.1.14_1,165.0,0
SWZ.1.4_1,SWZ.1.7_1,105.0,0
SWZ.1.4_1,SWZ.1.10_1,48.0,0
SWZ.1.4_1,SWZ.1.12_1,23.0,0
SWZ.1.4_1,SWZ.1.3_1,10.0,0
SWZ.1.4_1,SWZ.1.13_1,7.0,0
SWZ.1.4_1,SWZ.1.9_1,10.0,0
SWZ.1.4_1,SWZ.2.7_1,1.0,0
SWZ.1.4_1,SWZ.3.12_1,4.0,0
SWZ.1.4_1,SWZ.1.11_1,4.0,0
SWZ.1.4_1,SWZ.2.3_1,4.0,0
SWZ.1.4_1,SWZ.3.1_1,1.0,0
SWZ.1.4_1,SWZ.1.1_1,2.0,0
SWZ.1.4_1,SWZ.1.5_1,4.0,0
SWZ.1.4_1,SWZ.3.5_1,1.0,0
SWZ.1.4_1,SWZ.3.6_1,1.0,0
SWZ.1.4_1,SWZ.1.6_1,1.0,0
SWZ.1.4_1,SWZ.3.9_1,1.0,0
SWZ.1.4_1,SWZ.3.4_1,1.0,0
SWZ.1.4_1,SWZ.3.11_1,1.0,0
SWZ.1.4_1,SWZ.3.16_1,2.0,0
SWZ.1.4_1,SWZ.2.10_1,1.0,0
SWZ.1.4_1,SWZ.3.14_1,2.0,0
SWZ.1.4_1,SWZ.4.4_1,1.0,0
SWZ.1.5_1,SWZ.1.6_1,364.0,0
SWZ.1.5_1,SWZ.1.1_1,132.0,0
SWZ.1.5_1,SWZ.1.8_1,140.0,0
SWZ.1.5_1,SWZ.1.2_1,78.0,0
SWZ.1.5_1,SWZ.1.11_1,49.0,0
SWZ.1.5_1,SWZ.3.5_1,69.0,0
SWZ.1.5_1,SWZ.3.11_1,10.0,0
SWZ.1.5_1,SWZ.3.4_1,19.0,0
SWZ.1.5_1,SWZ.1.9_1,11.0,0
SWZ.1.5_1,SWZ.3.1_1,21.0,0
SWZ.1.5_1,SWZ.3.2_1,12.0,0
SWZ.1.5_1,SWZ.3.3_1,1.0,0
SWZ.1.5_1,SWZ.3.9_1,18.0,0
SWZ.1.5_1,SWZ.3.10_1,3.0,0
SWZ.1.5_1,SWZ.3.16_1,5.0,0
SWZ.1.5_1,SWZ.1.13_1,5.0,0
SWZ.1.5_1,SWZ.3.8_1,2.0,0
SWZ.1.5_1,SWZ.3.6_1,4.0,0
SWZ.1.5_1,SWZ.3.12_1,6.0,0
SWZ.1.5_1,SWZ.1.10_1,4.0,0
SWZ.1.5_1,SWZ.3.15_1,4.0,0
SWZ.1.5_1,SWZ.3.13_1,1.0,0
SWZ.1.5_1,SWZ.3.14_1,5.0,0
SWZ.1.5_1,SWZ.1.3_1,5.0,0
SWZ.1.5_1,SWZ.3.7_1,2.0,0
SWZ.1.5_1,SWZ.1.12_1,5.0,0
SWZ.1.5_1,SWZ.1.4_1,2.0,0
SWZ.1.5_1,SWZ.1.7_1,1.0,0
SWZ.1.5_1,SWZ.2.1_1,5.0,0
SWZ.1.5_1,SWZ.1.14_1,1.0,0
SWZ.1.5_1,SWZ.4.9_1,1.0,0
SWZ.1.5_1,SWZ.2.10_1,2.0,0
SWZ.1.5_1,SWZ.2.7_1,1.0,0
SWZ.1.5_1,SWZ.4.7_1,2.0,0
SWZ.1.5_1,SWZ.2.8_1,2.0,0
SWZ.1.5_1,SWZ.2.11_1,2.0,0
SWZ.1.5_1,SWZ.4.6_1,1.0,0
SWZ.1.5_1,SWZ.4.10_1,3.0,0
SWZ.1.5_1,SWZ.2.3_1,2.0,0
SWZ.1.5_1,SWZ.4.8_1,1.0,0
SWZ.1.5_1,SWZ.4.4_1,1.0,0
SWZ.1.5_1,SWZ.2.9_1,1.0,0
SWZ.1.5_1,SWZ.4.12_1,1.0,0
SWZ.1.5_1,SWZ.4.2_1,1.0,0
SWZ.1.5_1,SWZ.2.4_1,1.0,0
SWZ.1.5_1,SWZ.4.11_1,3.0,0
SWZ.1.6_1,SWZ.1.5_1,366.0,0
SWZ.1.6_1,SWZ.1.8_1,58.0,0
SWZ.1.6_1,SWZ.1.2_1,39.0,0
SWZ.1.6_1,SWZ.1.1_1,11.0,0
SWZ.1.6_1,SWZ.3.11_1,7.0,0
SWZ.1.6_1,SWZ.3.5_1,24.0,0
SWZ.1.6_1,SWZ.1.11_1,9.0,0
SWZ.1.6_1,SWZ.3.4_1,5.0,0
SWZ.1.6_1,SWZ.3.3_1,4.0,0
SWZ.1.6_1,SWZ.3.2_1,7.0,0
SWZ.1.6_1,SWZ.1.9_1,5.0,0
SWZ.1.6_1,SWZ.3.9_1,6.0,0
SWZ.1.6_1,SWZ.3.10_1,5.0,0
SWZ.1.6_1,SWZ.3.16_1,1.0,0
SWZ.1.6_1,SWZ.3.14_1,2.0,0
SWZ.1.6_1,SWZ.3.15_1,2.0,0
SWZ.1.6_1,SWZ.3.13_1,1.0,0
SWZ.1.6_1,SWZ.3.7_1,1.0,0
SWZ.1.6_1,SWZ.1.3_1,1.0,0
SWZ.1.6_1,SWZ.1.12_1,1.0,0
SWZ.1.6_1,SWZ.4.1_1,1.0,0
SWZ.1.6_1,SWZ.2.1_1,4.0,0
SWZ.1.6_1,SWZ.2.10_1,2.0,0
SWZ.1.6_1,SWZ.1.7_1,1.0,0
SWZ.1.6_1,SWZ.4.7_1,1.0,0
SWZ.1.6_1,SWZ.4.6_1,2.0,0
SWZ.1.6_1,SWZ.2.8_1,1.0,0
SWZ.1.6_1,SWZ.2.4_1,1.0,0
SWZ.1.7_1,SWZ.1.4_1,251.0,0
SWZ.1.7_1,SWZ.1.3_1,117.0,0
SWZ.1.7_1,SWZ.1.10_1,68.0,0
SWZ.1.7_1,SWZ.2.7_1,41.0,0
SWZ.1.7_1,SWZ.1.14_1,15.0,0
SWZ.1.7_1,SWZ.1.12_1,22.0,0
SWZ.1.7_1,SWZ.1.13_1,19.0,0
SWZ.1.7_1,SWZ.1.9_1,9.0,0
SWZ.1.7_1,SWZ.3.12_1,5.0,0
SWZ.1.7_1,SWZ.2.3_1,8.0,0
SWZ.1.7_1,SWZ.2.2_1,3.0,0
SWZ.1.7_1,SWZ.1.11_1,3.0,0
SWZ.1.7_1,SWZ.3.1_1,10.0,0
SWZ.1.7_1,SWZ.2.1_1,5.0,0
SWZ.1.7_1,SWZ.3.6_1,1.0,0
SWZ.1.7_1,SWZ.1.1_1,1.0,0
SWZ.1.7_1,SWZ.3.5_1,4.0,0
SWZ.1.7_1,SWZ.1.5_1,3.0,0
SWZ.1.7_1,SWZ.3.9_1,2.0,0
SWZ.1.7_1,SWZ.1.6_1,1.0,0
SWZ.1.7_1,SWZ.1.2_1,2.0,0
SWZ.1.7_1,SWZ.3.2_1,2.0,0
SWZ.1.7_1,SWZ.3.13_1,2.0,0
SWZ.1.7_1,SWZ.1.8_1,1.0,0
SWZ.1.7_1,SWZ.2.8_1,2.0,0
SWZ.1.7_1,SWZ.3.15_1,1.0,0
SWZ.1.7_1,SWZ.2.10_1,1.0,0
SWZ.1.7_1,SWZ.3.16_1,1.0,0
SWZ.1.7_1,SWZ.2.9_1,1.0,0
SWZ.1.7_1,SWZ.3.14_1,1.0,0
SWZ.1.7_1,SWZ.4.1_1,1.0,0
SWZ.1.8_1,SWZ.1.6_1,336.0,0
SWZ.1.8_1,SWZ.1.5_1,224.0,0
SWZ.1.8_1,SWZ.3.11_1,23.0,0
SWZ.1.8_1,SWZ.1.1_1,26.0,0
SWZ.1.8_1,SWZ.1.2_1,26.0,0
SWZ.1.8_1,SWZ.1.11_1,22.0,0
SWZ.1.8_1,SWZ.3.3_1,9.0,0
SWZ.1.8_1,SWZ.3.4_1,12.0,0
SWZ.1.8_1,SWZ.3.5_1,22.0,0
SWZ.1.8_1,SWZ.3.8_1,6.0,0
SWZ.1.8_1,SWZ.3.2_1,10.0,0
SWZ.1.8_1,SWZ.1.9_1,1.0,0
SWZ.1.8_1,SWZ.3.1_1,3.0,0
SWZ.1.8_1,SWZ.3.10_1,3.0,0
SWZ.1.8_1,SWZ.3.9_1,3.0,0
SWZ.1.8_1,SWZ.3.16_1,6.0,0
SWZ.1.8_1,SWZ.1.13_1,2.0,0
SWZ.1.8_1,SWZ.3.14_1,5.0,0
SWZ.1.8_1,SWZ.3.6_1,2.0,0
SWZ.1.8_1,SWZ.3.15_1,1.0,0
SWZ.1.8_1,SWZ.1.10_1,1.0,0
SWZ.1.8_1,SWZ.3.12_1,2.0,0
SWZ.1.8_1,SWZ.3.7_1,1.0,0
SWZ.1.8_1,SWZ.3.13_1,2.0,0
SWZ.1.8_1,SWZ.4.9_1,1.0,0
SWZ.1.8_1,SWZ.4.1_1,2.0,0
SWZ.1.8_1,SWZ.1.14_1,1.0,0
SWZ.1.8_1,SWZ.2.1_1,2.0,0
SWZ.1.8_1,SWZ.2.10_1,1.0,0
SWZ.1.8_1,SWZ.4.6_1,1.0,0
SWZ.1.8_1,SWZ.2.11_1,2.0,0
SWZ.1.8_1,SWZ.2.8_1,2.0,0
SWZ.1.8_1,SWZ.4.4_1,1.0,0
SWZ.1.8_1,SWZ.2.5_1,1.0,0
SWZ.1.8_1,SWZ.2.9_1,1.0,0
SWZ.1.9_1,SWZ.1.1_1,212.0,0
SWZ.1.9_1,SWZ.3.1_1,159.0,0
SWZ.1.9_1,SWZ.1.10_1,49.0,0
SWZ.1.9_1,SWZ.3.5_1,31.0,0
SWZ.1.9_1,SWZ.1.3_1,9.0,0
SWZ.1.9_1,SWZ.3.12_1,12.0,0
SWZ.1.9_1,SWZ.1.11_1,6.0,0
SWZ.1.9_1,SWZ.1.5_1,11.0,0
SWZ.1.9_1,SWZ.1.13_1,7.0,0
SWZ.1.9_1,SWZ.1.6_1,6.0,0
SWZ.1.9_1,SWZ.1.2_1,3.0,0
SWZ.1.9_1,SWZ.3.9_1,4.0,0
SWZ.1.9_1,SWZ.3.6_1,1.0,0
SWZ.1.9_1,SWZ.3.2_1,1.0,0
SWZ.1.9_1,SWZ.1.8_1,1.0,0
SWZ.1.9_1,SWZ.1.7_1,2.0,0
SWZ.1.9_1,SWZ.1.4_1,1.0,0
SWZ.1.9_1,SWZ.1.12_1,1.0,0
SWZ.1.9_1,SWZ.3.13_1,1.0,0
SWZ.1.9_1,SWZ.2.7_1,1.0,0
SWZ.1.9_1,SWZ.3.15_1,1.0,0
SWZ.1.9_1,SWZ.2.8_1,1.0,0
SWZ.1.9_1,SWZ.2.5_1,1.0,0
SWZ.1.9_1,SWZ.4.3_1,1.0,0
SWZ.1.9_1,SWZ.4.9_1,1.0,0
SWZ.1.9_1,SWZ.2.6_1,1.0,0
SWZ.1.9_1,SWZ.4.1_1,1.0,0
SWZ.1.9_1,SWZ.4.10_1,1.0,0
SWZ.1.10_1,SWZ.1.3_1,253.0,0
SWZ.1.10_1,SWZ.1.4_1,88.0,0
SWZ.1.10_1,SWZ.1.13_1,67.0,0
SWZ.1.10_1,SWZ.1.7_1,37.0,0
SWZ.1.10_1,SWZ.1.9_1,23.0,0
SWZ.1.10_1,SWZ.1.12_1,17.0,0
SWZ.1.10_1,SWZ.1.14_1,6.0,0
SWZ.1.10_1,SWZ.1.11_1,6.0,0
SWZ.1.10_1,SWZ.3.12_1,12.0,0
SWZ.1.10_1,SWZ.2.7_1,4.0,0
SWZ.1.10_1,SWZ.1.1_1,1.0,0
SWZ.1.10_1,SWZ.3.1_1,2.0,0
SWZ.1.10_1,SWZ.1.5_1,7.0,0
SWZ.1.10_1,SWZ.3.5_1,6.0,0
SWZ.1.10_1,SWZ.2.2_1,1.0,0
SWZ.1.10_1,SWZ.1.6_1,3.0,0
SWZ.1.10_1,SWZ.3.6_1,2.0,0
SWZ.1.10_1,SWZ.1.2_1,1.0,0
SWZ.1.10_1,SWZ.1.8_1,2.0,0
SWZ.1.10_1,SWZ.3.9_1,1.0,0
SWZ.1.10_1,SWZ.2.3_1,3.0,0
SWZ.1.10_1,SWZ.3.10_1,1.0,0
SWZ.1.10_1,SWZ.3.4_1,2.0,0
SWZ.1.10_1,SWZ.3.13_1,2.0,0
SWZ.1.10_1,SWZ.3.16_1,1.0,0
SWZ.1.10_1,SWZ.2.10_1,1.0,0
SWZ.1.10_1,SWZ.3.7_1,1.0,0
SWZ.1.10_1,SWZ.3.14_1,1.0,0
SWZ.1.10_1,SWZ.2.11_1,1.0,0
SWZ.1.10_1,SWZ.4.8_1,1.0,0
SWZ.1.10_1,SWZ.4.2_1,1.0,0
SWZ.1.10_1,SWZ.4.5_1,1.0,0
SWZ.1.11_1,SWZ.1.5_1,374.0,0
SWZ.1.11_1,SWZ.1.1_1,33.0,0
SWZ.1.11_1,SWZ.1.8_1,36.0,0
SWZ.1.11_1,SWZ.1.13_1,21.0,0
SWZ.1.11_1,SWZ.1.6_1,16.0,0
SWZ.1.11_1,SWZ.1.9_1,9.0,0
SWZ.1.11_1,SWZ.1.2_1,7.0,0
SWZ.1.11_1,SWZ.1.10_1,8.0,0
SWZ.1.11_1,SWZ.3.5_1,10.0,0
SWZ.1.11_1,SWZ.3.11_1,2.0,0
SWZ.1.11_1,SWZ.3.1_1,5.0,0
SWZ.1.11_1,SWZ.1.12_1,2.0,0
SWZ.1.11_1,SWZ.3.4_1,2.0,0
SWZ.1.11_1,SWZ.1.3_1,4.0,0
SWZ.1.11_1,SWZ.3.2_1,5.0,0
SWZ.1.11_1,SWZ.3.9_1,1.0,0
SWZ.1.11_1,SWZ.3.3_1,1.0,0
SWZ.1.11_1,SWZ.1.4_1,1.0,0
SWZ.1.11_1,SWZ.3.6_1,1.0,0
SWZ.1.11_1,SWZ.1.7_1,1.0,0
SWZ.1.11_1,SWZ.3.8_1,3.0,0
SWZ.1.11_1,SWZ.3.13_1,1.0,0
SWZ.1.11_1,SWZ.3.14_1,1.0,0
SWZ.1.11_1,SWZ.2.7_1,1.0,0
SWZ.1.11_1,SWZ.2.1_1,1.0,0
SWZ.1.11_1,SWZ.2.10_1,1.0,0
SWZ.1.11_1,SWZ.4.9_1,1.0,0
SWZ.1.11_1,SWZ.2.11_1,1.0,0
SWZ.1.11_1,SWZ.2.6_1,1.0,0
SWZ.1.12_1,SWZ.1.14_1,172.0,0
SWZ.1.12_1,SWZ.1.13_1,161.0,0
SWZ.1.12_1,SWZ.1.4_1,66.0,0
