origin,destination,flow,time
VUT.2.3_1,VUT.2.4_1,29.0,0
VUT.2.3_1,VUT.2.7_1,4.0,0
VUT.2.3_1,VUT.2.10_1,3.0,0
VUT.2.3_1,VUT.2.8_1,1.0,0
VUT.2.3_1,VUT.2.6_1,2.0,0
VUT.2.3_1,VUT.2.5_1,1.0,0
VUT.2.3_1,VUT.2.2_1,1.0,0
VUT.2.3_1,VUT.2.9_1,1.0,0
VUT.2.3_1,VUT.3.3_1,1.0,0
VUT.1.5_1,VUT.4.16_1,16.0,0
VUT.1.5_1,VUT.1.6_1,6.0,0
VUT.1.5_1,VUT.4.15_1,3.0,0
VUT.1.5_1,VUT.1.10_1,1.0,0
VUT.1.5_1,VUT.1.2_1,1.0,0
VUT.1.5_1,VUT.2.9_1,1.0,0
VUT.1.5_1,VUT.2.1_1,1.0,0
VUT.1.5_1,VUT.2.6_1,1.0,0
VUT.1.5_1,VUT.4.7_1,1.0,0
VUT.1.5_1,VUT.3.5_1,1.0,0
VUT.1.1_1,VUT.1.4_1,47.0,0
VUT.1.1_1,VUT.1.3_1,28.0,0
VUT.1.1_1,VUT.1.9_1,6.0,0
VUT.1.1_1,VUT.1.7_1,5.0,0
VUT.1.1_1,VUT.1.8_1,5.0,0
VUT.1.1_1,VUT.3.2_1,1.0,0
VUT.1.1_1,VUT.3.9_1,1.0,0
VUT.1.1_1,VUT.1.10_1,3.0,0
VUT.1.1_1,VUT.1.2_1,3.0,0
VUT.1.1_1,VUT.3.4_1,1.0,0
VUT.1.1_1,VUT.2.9_1,2.0,0
VUT.1.1_1,VUT.2.10_1,1.0,0
VUT.1.1_1,VUT.2.6_1,1.0,0
VUT.1.1_1,VUT.3.10_1,1.0,0
VUT.1.1_1,VUT.4.8_1,1.0,0
VUT.1.1_1,VUT.4.13_1,2.0,0
VUT.1.1_1,VUT.4.4_1,1.0,0
VUT.1.2_1,VUT.1.10_1,32.0,0
VUT.1.2_1,VUT.1.6_1,8.0,0
VUT.1.2_1,VUT.2.9_1,12.0,0
VUT.1.2_1,VUT.2.2_1,2.0,0
VUT.1.2_1,VUT.4.16_1,1.0,0
VUT.1.2_1,VUT.1.7_1,1.0,0
VUT.1.2_1,VUT.4.15_1,1.0,0
VUT.1.2_1,VUT.4.17_1,1.0,0
VUT.1.2_1,VUT.2.6_1,1.0,0
VUT.1.2_1,VUT.1.1_1,1.0,0
VUT.1.2_1,VUT.4.11_1,1.0,0
VUT.1.2_1,VUT.4.13_1,1.0,0
VUT.1.3_1,VUT.1.4_1,60.0,0
VUT.1.3_1,VUT.1.1_1,26.0,0
VUT.1.3_1,VUT.3.2_1,5.0,0
VUT.1.3_1,VUT.3.9_1,5.0,0
VUT.1.3_1,VUT.3.4_1,6.0,0
VUT.1.3_1,VUT.3.1_1,6.0,0
VUT.1.3_1,VUT.1.9_1,2.0,0
VUT.1.3_1,VUT.3.8_1,2.0,0
VUT.1.3_1,VUT.3.7_1,1.0,0
VUT.1.3_1,VUT.1.8_1,1.0,0
VUT.1.3_1,VUT.1.10_1,1.0,0
VUT.1.3_1,VUT.2.9_1,1.0,0
VUT.1.3_1,VUT.2.3_1,1.0,0
VUT.1.3_1,VUT.3.5_1,1.0,0
VUT.1.3_1,VUT.4.9_1,1.0,0
VUT.1.3_1,VUT.4.13_1,1.0,0
VUT.1.4_1,VUT.1.3_1,48.0,0
VUT.1.4_1,VUT.1.1_1,13.0,0
VUT.1.4_1,VUT.3.2_1,2.0,0
VUT.1.4_1,VUT.3.9_1,2.0,0
VUT.1.4_1,VUT.1.9_1,4.0,0
VUT.1.4_1,VUT.1.7_1,3.0,0
VUT.1.4_1,VUT.3.4_1,6.0,0
VUT.1.4_1,VUT.3.1_1,3.0,0
VUT.1.4_1,VUT.3.8_1,2.0,0
VUT.1.4_1,VUT.1.8_1,1.0,0
VUT.1.4_1,VUT.1.10_1,2.0,0
VUT.1.4_1,VUT.2.9_1,1.0,0
VUT.1.4_1,VUT.4.13_1,2.0,0
VUT.1.6_1,VUT.1.2_1,23.0,0
VUT.1.6_1,VUT.1.5_1,7.0,0
VUT.1.6_1,VUT.1.10_1,4.0,0
VUT.1.6_1,VUT.4.16_1,1.0,0
VUT.1.6_1,VUT.2.10_1,1.0,0
VUT.1.7_1,VUT.1.8_1,35.0,0
VUT.1.7_1,VUT.1.9_1,15.0,0
VUT.1.7_1,VUT.1.1_1,11.0,0
VUT.1.7_1,VUT.1.10_1,6.0,0
VUT.1.7_1,VUT.1.2_1,2.0,0
VUT.1.7_1,VUT.1.4_1,4.0,0
VUT.1.7_1,VUT.1.3_1,1.0,0
VUT.1.7_1,VUT.1.5_1,1.0,0
VUT.1.7_1,VUT.4.17_1,2.0,0
VUT.1.7_1,VUT.2.2_1,3.0,0
VUT.1.7_1,VUT.3.9_1,1.0,0
